"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","3911","Failed login with invalid credentials","","2026-09-09","failed","2026-09-09","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","4007","Successful login with valid credentials","","2026-09-09","passed","2026-09-09","","Login Flow Challenge","Successful login with valid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","3733","Failed login with invalid credentials","","2026-09-09","passed","2026-09-09","","Login Flow Challenge","Failed login with invalid credentials",""
"  Como un cliente del sitio
  Quiero completar un proceso de compra completo
  Para adquirir productos exitosamente","13832","Compra exitosa de un producto único","","2026-09-09","broken","2026-09-09","","Flujo de Compra de Producto en E-commerce","Compra exitosa de un producto único",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","15631","Failed login with invalid credentials","","2026-09-09","failed","2026-09-09","","Login Flow Challenge","Failed login with invalid credentials",""
"  The system must allow student registration by validating data integrity.","15165","Registro exitoso de un estudiante con información completa","","2026-09-09","broken","2026-09-09","","Student Enrollment Management","Registro exitoso de un estudiante con información completa",""
"  Como un cliente del sitio
  Quiero completar un proceso de compra completo
  Para adquirir productos exitosamente","25094","Validación de campos obligatorios en facturación","","2026-09-09","broken","2026-09-09","","Flujo de Compra de Producto en E-commerce","Validación de campos obligatorios en facturación",""
"  Como un cliente del sitio
  Quiero completar un proceso de compra completo
  Para adquirir productos exitosamente","11946","Intento de compra con pago cancelado","","2026-09-09","broken","2026-09-09","","Flujo de Compra de Producto en E-commerce","Intento de compra con pago cancelado",""
"  The system must allow student registration by validating data integrity.","15135","Fallo en el registro por número de teléfono inválido","","2026-09-09","broken","2026-09-09","","Student Enrollment Management","Fallo en el registro por número de teléfono inválido",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","2760","Failed login with invalid credentials","","2026-09-09","failed","2026-09-09","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1707","Failed login with invalid credentials","","2026-09-09","passed","2026-09-09","","Login Flow Challenge","Failed login with invalid credentials",""
"  The system must allow student registration by validating data integrity.","3037","Fallo en el registro al intentar enviar el formulario vacío","","2026-09-09","passed","2026-09-09","","Student Enrollment Management","Fallo en el registro al intentar enviar el formulario vacío",""
